# L	D_L^MCN0
4.5300e+02	7.1677e-07
4.5400e+02	7.2527e-07
4.5500e+02	7.6554e-07
4.5600e+02	7.1853e-07
4.5700e+02	7.4502e-07
4.5800e+02	7.5378e-07
4.5900e+02	7.5689e-07
4.6000e+02	7.5129e-07
4.6100e+02	7.4710e-07
4.6200e+02	7.5492e-07
4.6300e+02	7.7896e-07
4.6400e+02	7.7850e-07
4.6500e+02	7.6804e-07
4.6600e+02	7.6443e-07
4.6700e+02	7.9465e-07
4.6800e+02	7.8366e-07
4.6900e+02	7.9643e-07
4.7000e+02	8.0279e-07
4.7100e+02	8.1234e-07
4.7200e+02	8.0642e-07
4.7300e+02	8.0183e-07
4.7400e+02	7.9104e-07
4.7500e+02	7.8665e-07
4.7600e+02	8.0312e-07
4.7700e+02	8.0582e-07
4.7800e+02	8.0992e-07
4.7900e+02	8.4310e-07
4.8000e+02	8.4521e-07
4.8100e+02	8.3867e-07
4.8200e+02	8.8511e-07
4.8300e+02	8.5258e-07
4.8400e+02	8.4692e-07
4.8500e+02	8.5879e-07
4.8600e+02	8.7763e-07
4.8700e+02	8.7212e-07
4.8800e+02	8.7125e-07
4.8900e+02	8.9365e-07
4.9000e+02	8.9596e-07
4.9100e+02	8.8959e-07
4.9200e+02	8.9865e-07
4.9300e+02	8.9921e-07
4.9400e+02	9.2445e-07
4.9500e+02	8.9548e-07
4.9600e+02	9.2859e-07
4.9700e+02	9.2026e-07
4.9800e+02	9.1735e-07
4.9900e+02	9.1920e-07
5.0000e+02	9.0927e-07
5.0100e+02	9.4154e-07
5.0200e+02	9.2975e-07
5.0300e+02	9.4231e-07
5.0400e+02	9.3511e-07
5.0500e+02	9.5845e-07
5.0600e+02	9.5261e-07
5.0700e+02	9.7026e-07
5.0800e+02	9.8444e-07
5.0900e+02	9.5816e-07
5.1000e+02	9.2919e-07
5.1100e+02	9.4397e-07
5.1200e+02	9.7117e-07
5.1300e+02	9.7319e-07
5.1400e+02	9.9386e-07
5.1500e+02	1.0222e-06
5.1600e+02	1.0327e-06
5.1700e+02	1.0142e-06
5.1800e+02	1.0338e-06
5.1900e+02	9.7798e-07
5.2000e+02	9.8630e-07
5.2100e+02	1.0083e-06
5.2200e+02	1.0209e-06
5.2300e+02	1.0406e-06
5.2400e+02	9.8634e-07
5.2500e+02	1.0102e-06
5.2600e+02	1.0402e-06
5.2700e+02	1.0976e-06
5.2800e+02	1.0246e-06
5.2900e+02	1.0751e-06
5.3000e+02	1.0959e-06
5.3100e+02	1.0845e-06
5.3200e+02	1.0759e-06
5.3300e+02	1.1149e-06
5.3400e+02	1.1295e-06
5.3500e+02	1.1182e-06
5.3600e+02	1.0987e-06
5.3700e+02	1.0894e-06
5.3800e+02	1.1274e-06
5.3900e+02	1.1227e-06
5.4000e+02	1.1411e-06
5.4100e+02	1.1210e-06
5.4200e+02	1.1344e-06
5.4300e+02	1.1383e-06
5.4400e+02	1.1589e-06
5.4500e+02	1.1216e-06
5.4600e+02	1.1720e-06
5.4700e+02	1.1451e-06
5.4800e+02	1.2091e-06
5.4900e+02	1.1711e-06
5.5000e+02	1.1929e-06
5.5100e+02	1.1739e-06
5.5200e+02	1.1926e-06
5.5300e+02	1.2384e-06
5.5400e+02	1.2371e-06
5.5500e+02	1.2074e-06
5.5600e+02	1.2323e-06
5.5700e+02	1.2195e-06
5.5800e+02	1.2328e-06
5.5900e+02	1.2773e-06
5.6000e+02	1.2440e-06
5.6100e+02	1.2783e-06
5.6200e+02	1.2743e-06
5.6300e+02	1.2578e-06
5.6400e+02	1.3548e-06
5.6500e+02	1.3481e-06
5.6600e+02	1.3511e-06
5.6700e+02	1.2726e-06
5.6800e+02	1.3686e-06
5.6900e+02	1.3190e-06
5.7000e+02	1.3343e-06
5.7100e+02	1.3998e-06
5.7200e+02	1.3691e-06
5.7300e+02	1.3856e-06
5.7400e+02	1.3433e-06
5.7500e+02	1.3738e-06
5.7600e+02	1.3211e-06
5.7700e+02	1.3963e-06
5.7800e+02	1.3679e-06
5.7900e+02	1.3823e-06
5.8000e+02	1.3783e-06
5.8100e+02	1.4450e-06
5.8200e+02	1.4006e-06
5.8300e+02	1.4157e-06
5.8400e+02	1.3499e-06
5.8500e+02	1.4126e-06
5.8600e+02	1.4550e-06
5.8700e+02	1.4224e-06
5.8800e+02	1.4678e-06
5.8900e+02	1.5115e-06
5.9000e+02	1.5080e-06
5.9100e+02	1.4987e-06
5.9200e+02	1.5198e-06
5.9300e+02	1.5674e-06
5.9400e+02	1.4463e-06
5.9500e+02	1.5112e-06
5.9600e+02	1.4782e-06
5.9700e+02	1.5461e-06
5.9800e+02	1.4358e-06
5.9900e+02	1.5094e-06
6.0000e+02	1.4411e-06
6.0100e+02	1.5159e-06
6.0200e+02	1.4950e-06
6.0300e+02	1.5440e-06
6.0400e+02	1.4595e-06
6.0500e+02	1.5676e-06
6.0600e+02	1.4885e-06
6.0700e+02	1.4878e-06
6.0800e+02	1.6264e-06
6.0900e+02	1.5780e-06
6.1000e+02	1.5862e-06
6.1100e+02	1.5342e-06
6.1200e+02	1.5890e-06
6.1300e+02	1.6890e-06
6.1400e+02	1.5751e-06
6.1500e+02	1.5426e-06
6.1600e+02	1.5433e-06
6.1700e+02	1.5203e-06
6.1800e+02	1.5855e-06
6.1900e+02	1.5889e-06
6.2000e+02	1.6240e-06
6.2100e+02	1.5851e-06
6.2200e+02	1.6287e-06
6.2300e+02	1.5302e-06
6.2400e+02	1.6105e-06
6.2500e+02	1.5904e-06
6.2600e+02	1.6401e-06
6.2700e+02	1.6357e-06
6.2800e+02	1.6150e-06
6.2900e+02	1.6300e-06
6.3000e+02	1.6197e-06
6.3100e+02	1.6607e-06
6.3200e+02	1.5901e-06
6.3300e+02	1.5549e-06
6.3400e+02	1.6875e-06
6.3500e+02	1.6379e-06
6.3600e+02	1.5659e-06
6.3700e+02	1.6432e-06
6.3800e+02	1.7210e-06
6.3900e+02	1.6249e-06
6.4000e+02	1.6616e-06
6.4100e+02	1.7394e-06
6.4200e+02	1.7174e-06
6.4300e+02	1.7430e-06
6.4400e+02	1.6654e-06
6.4500e+02	1.7086e-06
6.4600e+02	1.8047e-06
6.4700e+02	1.9028e-06
6.4800e+02	1.6873e-06
6.4900e+02	1.7677e-06
6.5000e+02	1.7636e-06
6.5100e+02	1.7422e-06
6.5200e+02	1.8222e-06
6.5300e+02	1.9164e-06
6.5400e+02	1.7766e-06
6.5500e+02	1.7879e-06
6.5600e+02	1.7171e-06
6.5700e+02	1.8315e-06
6.5800e+02	1.7194e-06
6.5900e+02	1.8931e-06
6.6000e+02	1.8490e-06
6.6100e+02	1.7791e-06
6.6200e+02	1.8972e-06
6.6300e+02	1.9006e-06
6.6400e+02	1.9749e-06
6.6500e+02	1.7527e-06
6.6600e+02	1.8566e-06
6.6700e+02	1.8920e-06
6.6800e+02	1.9644e-06
6.6900e+02	1.9365e-06
6.7000e+02	1.9779e-06
6.7100e+02	1.8904e-06
6.7200e+02	1.8498e-06
6.7300e+02	2.0495e-06
6.7400e+02	1.9528e-06
6.7500e+02	1.9147e-06
6.7600e+02	1.8358e-06
6.7700e+02	2.0427e-06
6.7800e+02	2.0322e-06
6.7900e+02	2.0398e-06
6.8000e+02	2.0274e-06
6.8100e+02	2.0556e-06
6.8200e+02	2.1190e-06
6.8300e+02	2.0083e-06
6.8400e+02	2.0013e-06
6.8500e+02	1.9405e-06
6.8600e+02	1.9899e-06
6.8700e+02	2.1336e-06
6.8800e+02	2.0950e-06
6.8900e+02	2.1949e-06
6.9000e+02	2.1605e-06
6.9100e+02	2.1797e-06
6.9200e+02	2.2282e-06
6.9300e+02	2.1856e-06
6.9400e+02	2.0785e-06
6.9500e+02	2.2051e-06
6.9600e+02	2.1973e-06
6.9700e+02	2.1190e-06
6.9800e+02	2.2687e-06
6.9900e+02	2.1858e-06
7.0000e+02	2.2583e-06
7.0100e+02	2.2237e-06
7.0200e+02	2.3546e-06
7.0300e+02	2.2657e-06
7.0400e+02	2.1896e-06
7.0500e+02	2.3020e-06
7.0600e+02	2.3098e-06
7.0700e+02	2.3769e-06
7.0800e+02	2.3219e-06
7.0900e+02	2.3914e-06
7.1000e+02	2.3212e-06
7.1100e+02	2.2443e-06
7.1200e+02	2.3614e-06
7.1300e+02	2.3895e-06
7.1400e+02	2.4740e-06
7.1500e+02	2.4284e-06
7.1600e+02	2.3479e-06
7.1700e+02	2.4482e-06
7.1800e+02	2.5445e-06
7.1900e+02	2.5347e-06
7.2000e+02	2.4007e-06
7.2100e+02	2.6230e-06
7.2200e+02	2.4558e-06
7.2300e+02	2.4301e-06
7.2400e+02	2.6378e-06
7.2500e+02	2.5173e-06
7.2600e+02	2.5659e-06
7.2700e+02	2.6489e-06
7.2800e+02	2.6017e-06
7.2900e+02	2.6610e-06
7.3000e+02	2.6966e-06
7.3100e+02	2.7050e-06
7.3200e+02	2.8431e-06
7.3300e+02	2.6840e-06
7.3400e+02	2.7094e-06
7.3500e+02	2.6648e-06
7.3600e+02	2.7483e-06
7.3700e+02	2.9074e-06
7.3800e+02	2.9713e-06
7.3900e+02	2.5577e-06
7.4000e+02	2.7986e-06
7.4100e+02	2.9279e-06
7.4200e+02	2.8398e-06
7.4300e+02	2.8576e-06
7.4400e+02	2.6925e-06
7.4500e+02	3.0197e-06
7.4600e+02	2.9013e-06
7.4700e+02	3.2251e-06
7.4800e+02	3.0945e-06
7.4900e+02	2.9417e-06
7.5000e+02	3.1749e-06
7.5100e+02	2.9980e-06
7.5200e+02	2.9943e-06
7.5300e+02	3.1112e-06
7.5400e+02	3.1866e-06
7.5500e+02	3.3486e-06
7.5600e+02	3.2711e-06
7.5700e+02	3.3864e-06
7.5800e+02	3.0405e-06
7.5900e+02	3.3011e-06
7.6000e+02	3.2834e-06
7.6100e+02	3.3072e-06
7.6200e+02	3.1906e-06
7.6300e+02	3.2998e-06
7.6400e+02	3.3841e-06
7.6500e+02	3.4832e-06
7.6600e+02	3.5734e-06
7.6700e+02	3.7715e-06
7.6800e+02	3.6763e-06
7.6900e+02	3.5248e-06
7.7000e+02	3.3269e-06
7.7100e+02	3.6779e-06
7.7200e+02	3.7174e-06
7.7300e+02	3.5531e-06
7.7400e+02	3.7060e-06
7.7500e+02	3.5403e-06
7.7600e+02	3.7742e-06
7.7700e+02	4.2169e-06
7.7800e+02	3.6302e-06
7.7900e+02	3.9128e-06
7.8000e+02	4.2277e-06
7.8100e+02	4.2061e-06
7.8200e+02	3.7812e-06
7.8300e+02	3.8971e-06
7.8400e+02	4.0294e-06
7.8500e+02	4.1701e-06
7.8600e+02	4.1596e-06
7.8700e+02	4.3822e-06
7.8800e+02	4.0055e-06
7.8900e+02	3.8910e-06
7.9000e+02	4.2096e-06
7.9100e+02	4.1500e-06
7.9200e+02	4.2716e-06
7.9300e+02	3.8447e-06
7.9400e+02	4.5508e-06
7.9500e+02	4.1129e-06
7.9600e+02	4.4206e-06
7.9700e+02	4.5332e-06
7.9800e+02	4.8912e-06
7.9900e+02	4.3785e-06
8.0000e+02	4.7766e-06
8.0100e+02	4.6296e-06
8.0200e+02	4.7112e-06
8.0300e+02	4.5327e-06
