# L	D_L^phi phi
7.3200e+02	1.0886e-08
7.3300e+02	1.0863e-08
7.3400e+02	1.0840e-08
7.3500e+02	1.0818e-08
7.3600e+02	1.0795e-08
7.3700e+02	1.0773e-08
7.3800e+02	1.0750e-08
7.3900e+02	1.0728e-08
7.4000e+02	1.0706e-08
7.4100e+02	1.0684e-08
7.4200e+02	1.0662e-08
7.4300e+02	1.0640e-08
7.4400e+02	1.0618e-08
7.4500e+02	1.0596e-08
7.4600e+02	1.0575e-08
7.4700e+02	1.0553e-08
7.4800e+02	1.0531e-08
7.4900e+02	1.0510e-08
7.5000e+02	1.0488e-08
7.5100e+02	1.0467e-08
7.5200e+02	1.0446e-08
7.5300e+02	1.0424e-08
7.5400e+02	1.0403e-08
7.5500e+02	1.0382e-08
7.5600e+02	1.0361e-08
7.5700e+02	1.0340e-08
7.5800e+02	1.0319e-08
7.5900e+02	1.0298e-08
7.6000e+02	1.0277e-08
7.6100e+02	1.0257e-08
7.6200e+02	1.0236e-08
7.6300e+02	1.0215e-08
7.6400e+02	1.0195e-08
7.6500e+02	1.0174e-08
7.6600e+02	1.0154e-08
7.6700e+02	1.0134e-08
7.6800e+02	1.0113e-08
7.6900e+02	1.0093e-08
7.7000e+02	1.0073e-08
7.7100e+02	1.0053e-08
7.7200e+02	1.0033e-08
7.7300e+02	1.0013e-08
7.7400e+02	9.9930e-09
7.7500e+02	9.9731e-09
7.7600e+02	9.9534e-09
7.7700e+02	9.9337e-09
7.7800e+02	9.9140e-09
7.7900e+02	9.8944e-09
7.8000e+02	9.8749e-09
7.8100e+02	9.8554e-09
7.8200e+02	9.8360e-09
7.8300e+02	9.8167e-09
7.8400e+02	9.7974e-09
7.8500e+02	9.7781e-09
7.8600e+02	9.7590e-09
7.8700e+02	9.7398e-09
7.8800e+02	9.7208e-09
7.8900e+02	9.7018e-09
7.9000e+02	9.6828e-09
7.9100e+02	9.6640e-09
7.9200e+02	9.6451e-09
7.9300e+02	9.6264e-09
7.9400e+02	9.6076e-09
7.9500e+02	9.5890e-09
7.9600e+02	9.5704e-09
7.9700e+02	9.5518e-09
7.9800e+02	9.5333e-09
7.9900e+02	9.5149e-09
8.0000e+02	9.4965e-09
8.0100e+02	9.4782e-09
8.0200e+02	9.4599e-09
8.0300e+02	9.4417e-09
8.0400e+02	9.4235e-09
8.0500e+02	9.4054e-09
8.0600e+02	9.3873e-09
8.0700e+02	9.3693e-09
8.0800e+02	9.3514e-09
8.0900e+02	9.3335e-09
8.1000e+02	9.3156e-09
8.1100e+02	9.2978e-09
8.1200e+02	9.2801e-09
8.1300e+02	9.2624e-09
8.1400e+02	9.2447e-09
8.1500e+02	9.2271e-09
8.1600e+02	9.2096e-09
8.1700e+02	9.1921e-09
8.1800e+02	9.1747e-09
8.1900e+02	9.1573e-09
8.2000e+02	9.1399e-09
8.2100e+02	9.1226e-09
8.2200e+02	9.1054e-09
8.2300e+02	9.0882e-09
8.2400e+02	9.0711e-09
8.2500e+02	9.0540e-09
8.2600e+02	9.0369e-09
8.2700e+02	9.0199e-09
8.2800e+02	9.0030e-09
8.2900e+02	8.9861e-09
8.3000e+02	8.9692e-09
8.3100e+02	8.9524e-09
8.3200e+02	8.9357e-09
8.3300e+02	8.9190e-09
8.3400e+02	8.9023e-09
