 #L        TxT           TxE           TxP           TxW1          ExT           ExE           ExP           ExW1          PxT           PxE           PxP           PxW1          W1xT          W1xE          W1xP         W1xW1       
53    1.481163e+03 -4.638998e-02  7.341905e-04  4.126303e-02 -4.638998e-02  1.424186e-01 -7.750615e-07  4.676624e-06  7.341905e-04 -7.750615e-07  1.322917e-07  7.316835e-06  4.126303e-02  4.676624e-06  7.316835e-06  7.194504e-04
54    1.501879e+03 -2.735194e-01  7.203819e-04  4.079895e-02 -2.735194e-01  1.510215e-01 -8.993589e-07  4.067531e-06  7.203819e-04 -8.993589e-07  1.317266e-07  7.367664e-06  4.079895e-02  4.067531e-06  7.367664e-06  7.371624e-04
55    1.522704e+03 -5.127727e-01  7.071011e-04  4.033749e-02 -5.127727e-01  1.599244e-01 -9.615912e-07  3.503478e-06  7.071011e-04 -9.615912e-07  1.311491e-07  7.416008e-06  4.033749e-02  3.503478e-06  7.416008e-06  7.547832e-04
56    1.543748e+03 -7.650210e-01  6.943556e-04  3.987925e-02 -7.650210e-01  1.691245e-01 -9.378882e-07  3.016729e-06  6.943556e-04 -9.378882e-07  1.305603e-07  7.461966e-06  3.987925e-02  3.016729e-06  7.461966e-06  7.723114e-04
57    1.565113e+03 -1.031144e+00  6.821012e-04  3.942465e-02 -1.031144e+00  1.786184e-01 -8.467133e-07  2.633890e-06  6.821012e-04 -8.467133e-07  1.299608e-07  7.505622e-06  3.942465e-02  2.633890e-06  7.505622e-06  7.897464e-04
58    1.586756e+03 -1.311344e+00  6.702810e-04  3.897407e-02 -1.311344e+00  1.884048e-01 -7.171134e-07  2.380152e-06  6.702810e-04 -7.171134e-07  1.293510e-07  7.547055e-06  3.897407e-02  2.380152e-06  7.547055e-06  8.070878e-04
59    1.608591e+03 -1.605538e+00  6.588379e-04  3.852787e-02 -1.605538e+00  1.984832e-01 -5.781352e-07  2.280705e-06  6.588379e-04 -5.781352e-07  1.287316e-07  7.586346e-06  3.852787e-02  2.280705e-06  7.586346e-06  8.243354e-04
60    1.630595e+03 -1.913222e+00  6.477149e-04  3.808643e-02 -1.913222e+00  2.088457e-01 -4.588256e-07  2.360740e-06  6.477149e-04 -4.588256e-07  1.281031e-07  7.623574e-06  3.808643e-02  2.360740e-06  7.623574e-06  8.414886e-04
61    1.652778e+03 -2.233928e+00  6.368605e-04  3.765008e-02 -2.233928e+00  2.194854e-01 -3.829475e-07  2.631312e-06  6.368605e-04 -3.829475e-07  1.274662e-07  7.658824e-06  3.765008e-02  2.631312e-06  7.658824e-06  8.585481e-04
62    1.675144e+03 -2.567659e+00  6.262453e-04  3.721896e-02 -2.567659e+00  2.303985e-01 -3.531279e-07  3.046935e-06  6.262453e-04 -3.531279e-07  1.268218e-07  7.692195e-06  3.721896e-02  3.046935e-06  7.692195e-06  8.755181e-04
63    1.697713e+03 -2.914551e+00  6.158453e-04  3.679316e-02 -2.914551e+00  2.415832e-01 -3.667097e-07  3.547984e-06  6.158453e-04 -3.667097e-07  1.261709e-07  7.723793e-06  3.679316e-02  3.547984e-06  7.723793e-06  8.924034e-04
64    1.720488e+03 -3.274735e+00  6.056367e-04  3.637278e-02 -3.274735e+00  2.530369e-01 -4.210360e-07  4.074837e-06  6.056367e-04 -4.210360e-07  1.255144e-07  7.753721e-06  3.637278e-02  4.074837e-06  7.753721e-06  9.092093e-04
65    1.743495e+03 -3.648402e+00  5.955955e-04  3.595793e-02 -3.648402e+00  2.647589e-01 -5.134497e-07  4.567873e-06  5.955955e-04 -5.134497e-07  1.248535e-07  7.782084e-06  3.595793e-02  4.567873e-06  7.782084e-06  9.259407e-04
66    1.766772e+03 -4.035763e+00  5.857092e-04  3.554865e-02 -4.035763e+00  2.767423e-01 -6.385391e-07  4.975771e-06  5.857092e-04 -6.385391e-07  1.241891e-07  7.808981e-06  3.554865e-02  4.975771e-06  7.808981e-06  9.426026e-04
67    1.790300e+03 -4.436288e+00  5.760110e-04  3.514489e-02 -4.436288e+00  2.889803e-01 -7.798731e-07  5.280429e-06  5.760110e-04 -7.798731e-07  1.235216e-07  7.834486e-06  3.514489e-02  5.280429e-06  7.834486e-06  9.591989e-04
68    1.814042e+03 -4.849257e+00  5.665452e-04  3.474651e-02 -4.849257e+00  3.014632e-01 -9.182657e-07  5.472050e-06  5.665452e-04 -9.182657e-07  1.228515e-07  7.858670e-06  3.474651e-02  5.472050e-06  7.858670e-06  9.757337e-04
69    1.837951e+03 -5.273977e+00  5.573564e-04  3.435343e-02 -5.273977e+00  3.141836e-01 -1.034531e-06  5.540834e-06  5.573564e-04 -1.034531e-06  1.221793e-07  7.881601e-06  3.435343e-02  5.540834e-06  7.881601e-06  9.922107e-04
70    1.861999e+03 -5.709949e+00  5.484890e-04  3.396551e-02 -5.709949e+00  3.271347e-01 -1.109483e-06  5.476983e-06  5.484890e-04 -1.109483e-06  1.215054e-07  7.903349e-06  3.396551e-02  5.476983e-06  7.903349e-06  1.008634e-03
71    1.886163e+03 -6.156989e+00  5.399742e-04  3.358271e-02 -6.156989e+00  3.403124e-01 -1.129330e-06  5.279209e-06  5.399742e-04 -1.129330e-06  1.208302e-07  7.923976e-06  3.358271e-02  5.279209e-06  7.923976e-06  1.025007e-03
72    1.910556e+03 -6.616008e+00  5.317906e-04  3.320515e-02 -6.616008e+00  3.537127e-01 -1.101860e-06  4.980257e-06  5.317906e-04 -1.101860e-06  1.201537e-07  7.943520e-06  3.320515e-02  4.980257e-06  7.943520e-06  1.041329e-03
